Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Affiliations,Authors with affiliations,Funding Details
Temeljotov Salaj A.; Gohari S.; Senior C.; Xue Y.; Lindkvist C.,"Temeljotov Salaj, Alenka (55247399600); Gohari, Savis (57192112245); Senior, Coline (57216951622); Xue, Yan (57216955918); Lindkvist, Carmel (36163447300)",55247399600; 57192112245; 57216951622; 57216955918; 36163447300,An interactive tool for citizensâ€™ involvement in the sustainable regeneration,2020,Facilities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085500870&doi=10.1108%2fF-09-2019-0099&partnerID=40&md5=301c5813ce338636877d6e30c760f6f6,"Department of Civil and Environmental Engineering, Norwegian University of Science and Technology, Trondheim, Norway; Department of Architecture and Planning, Norwegian University of Science and Technology, Trondheim, Norway","Temeljotov Salaj A., Department of Civil and Environmental Engineering, Norwegian University of Science and Technology, Trondheim, Norway; Gohari S., Department of Architecture and Planning, Norwegian University of Science and Technology, Trondheim, Norway; Senior C., Department of Civil and Environmental Engineering, Norwegian University of Science and Technology, Trondheim, Norway; Xue Y., Department of Civil and Environmental Engineering, Norwegian University of Science and Technology, Trondheim, Norway; Lindkvist C., Department of Architecture and Planning, Norwegian University of Science and Technology, Trondheim, Norway","Co-operative Housing Federation of Norway; NBBL; TOBB; Norges Teknisk-Naturvitenskapelige Universitet, NTNU"
Morgenroth J.; Nowak D.J.; Koeser A.K.,"Morgenroth, Justin (23991150200); Nowak, David J. (7201764447); Koeser, Andrew K. (21934582300)",23991150200; 7201764447; 21934582300,DBH distributions in America's urban forests-An overview of structural diversity,2020,Forests,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081121277&doi=10.3390%2ff11020135&partnerID=40&md5=fc629d628537322aa5bac18ed5884c34,"New Zealand School of Forestry, University of Canterbury, Christchurch, 8041, New Zealand; USDA Forest Service, Northern Research Station, Syracuse, 13210, NY, United States; Department of Environmental Horticulture, CLCE, IFAS, University of Florida-Gulf Coast Research and Education Center, Wimauma, 33598, FL, United States","Morgenroth J., New Zealand School of Forestry, University of Canterbury, Christchurch, 8041, New Zealand; Nowak D.J., USDA Forest Service, Northern Research Station, Syracuse, 13210, NY, United States; Koeser A.K., Department of Environmental Horticulture, CLCE, IFAS, University of Florida-Gulf Coast Research and Education Center, Wimauma, 33598, FL, United States",
Zabel P.; Zeidler C.; Vrakking V.; Dorn M.; Schubert D.,"Zabel, Paul (55455468700); Zeidler, Conrad (57201547359); Vrakking, Vincent (55846141100); Dorn, Markus (57212445090); Schubert, Daniel (35782546800)",55455468700; 57201547359; 55846141100; 57212445090; 35782546800,Biomass Production of the EDEN ISS Space Greenhouse in Antarctica During the 2018 Experiment Phase,2020,Frontiers in Plant Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086229297&doi=10.3389%2ffpls.2020.00656&partnerID=40&md5=91ae9d2528062eed99f0fbbaefc72e08,"EDEN Research Group, German Aerospace Center (DLR), Institute of Space Systems, Bremen, Germany","Zabel P., EDEN Research Group, German Aerospace Center (DLR), Institute of Space Systems, Bremen, Germany; Zeidler C., EDEN Research Group, German Aerospace Center (DLR), Institute of Space Systems, Bremen, Germany; Vrakking V., EDEN Research Group, German Aerospace Center (DLR), Institute of Space Systems, Bremen, Germany; Dorn M., EDEN Research Group, German Aerospace Center (DLR), Institute of Space Systems, Bremen, Germany; Schubert D., EDEN Research Group, German Aerospace Center (DLR), Institute of Space Systems, Bremen, Germany","Horizon 2020 Framework Programme, H2020, (636501)"
Brudnicka A.; Rybka A.,"Brudnicka, Anna (57203841940); Rybka, Adam (25637684400)",57203841940; 25637684400,Green IT strategies: Information management in architectural regenerative design,2020,Green Energy and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091428212&doi=10.1007%2f978-3-030-47975-6_21&partnerID=40&md5=2a3d96c63932f6eccda65b9febf58a29,"Faculty of Civil and Environmental Engineering and Architecture, Rzeszow University of Technology, Rzeszów, Poland","Brudnicka A., Faculty of Civil and Environmental Engineering and Architecture, Rzeszow University of Technology, Rzeszów, Poland; Rybka A., Faculty of Civil and Environmental Engineering and Architecture, Rzeszow University of Technology, Rzeszów, Poland",
Dâ€™Onofrio R.; Trusiani E.,"Dâ€™Onofrio, Rosalba (57190815500); Trusiani, Elio (56259129700)",57190815500; 56259129700,The ascoli piceno case: The ccuhre project,2020,Green Energy and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089847281&doi=10.1007%2f978-3-030-49446-9_9&partnerID=40&md5=1be9365f8bb584e8f09a2cf44ffd2d6c,"School of Architecture and Design, University of Camerino, Ascoli Piceno, Italy","Dâ€™Onofrio R., School of Architecture and Design, University of Camerino, Ascoli Piceno, Italy; Trusiani E., School of Architecture and Design, University of Camerino, Ascoli Piceno, Italy",
Korkmaz C.; Balaban O.,"Korkmaz, Cansu (57211949927); Balaban, Osman (37664483400)",57211949927; 37664483400,Sustainability of urban regeneration in Turkey: Assessing the performance of the North Ankara Urban Regeneration Project,2020,Habitat International,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075444095&doi=10.1016%2fj.habitatint.2019.102081&partnerID=40&md5=bb1a358720b8d448aa5e4470046a672a,"Konya Technical University, Faculty of Architecture and Design, Department of City and Regional Planning, Akademi Mah, Yeni Ä°stanbul Caddesi, No: 235/1 SelÃ§uklu, Konya, Turkey; Middle East Technical University, Faculty of Architecture, Department of City and Regional Planning, DumlupÄ±nar BulvarÄ±, No:1, Ã‡ankaya, Ankara, Turkey","Korkmaz C., Konya Technical University, Faculty of Architecture and Design, Department of City and Regional Planning, Akademi Mah, Yeni Ä°stanbul Caddesi, No: 235/1 SelÃ§uklu, Konya, Turkey; Balaban O., Middle East Technical University, Faculty of Architecture, Department of City and Regional Planning, DumlupÄ±nar BulvarÄ±, No:1, Ã‡ankaya, Ankara, Turkey",
Howden-Chapman P.; Pierse N.,"Howden-Chapman, Philippa (7003417304); Pierse, Nevil (12787962600)",7003417304; 12787962600,"Commentary on Housing, Health, and Well-Being in Aotearoa/New Zealand",2020,Health Education and Behavior,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095428553&doi=10.1177%2f1090198120967932&partnerID=40&md5=96f194f90dfc27c1dbee8ead0511416f,"University of Otago, Wellington, New Zealand","Howden-Chapman P., University of Otago, Wellington, New Zealand; Pierse N., University of Otago, Wellington, New Zealand","Health Research Council of New Zealand, HRC"
Kong F.; Ghovanloo M.; Durgin G.D.,"Kong, Fanpeng (56640522900); Ghovanloo, Maysam (6701322320); Durgin, Gregory D. (6603675014)",56640522900; 6701322320; 6603675014,An adaptive impedance matching transmitter for a wireless intraoral tongue-controlled assistive technology,2020,IEEE Transactions on Circuits and Systems II: Express Briefs,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079758830&doi=10.1109%2fTCSII.2019.2913623&partnerID=40&md5=80054a20d9980d4fe8a1ab4f91481255,"School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, 30308, GA, United States","Kong F., School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, 30308, GA, United States; Ghovanloo M., School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, 30308, GA, United States; Durgin G.D., School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, 30308, GA, United States","National Science Foundation, NSF, (CBET-1605228, IIS-0953107)"
Hamunyela E.; Brandt P.; Shirima D.; Do H.T.T.; Herold M.; Roman-Cuesta R.M.,"Hamunyela, Eliakim (55979439300); Brandt, Patric (55746784700); Shirima, Deo (36988881700); Do, Ha Thi Thanh (57196480241); Herold, Martin (7102192954); Roman-Cuesta, Rosa Maria (6508108081)",55979439300; 55746784700; 36988881700; 57196480241; 7102192954; 6508108081,"Space-time detection of deforestation, forest degradation and regeneration in montane forests of Eastern Tanzania",2020,International Journal of Applied Earth Observation and Geoinformation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087088401&doi=10.1016%2fj.jag.2020.102063&partnerID=40&md5=6f8d5ca366fdac09433db8dce2b24f09,"University of Namibia, Faculty of Humanity and Social Sciences, Private Bag 13301, Windhoek, Namibia; Center for International Forestry Research (CIFOR), P.O. Box 30677, Nairobi, 00100, Kenya; Wageningen University & Research, Laboratory of Geo-Information Science and Remote Sensing, Droevendaalsesteg 3, PB Wageningen, 6708, Netherlands; Sokoine University of Agriculture, Department of Ecosystems and Conservation, Tanzania; Forest Research Centre, Southern Cross University, Lismore, 2480, NSW, Australia","Hamunyela E., University of Namibia, Faculty of Humanity and Social Sciences, Private Bag 13301, Windhoek, Namibia; Brandt P., Center for International Forestry Research (CIFOR), P.O. Box 30677, Nairobi, 00100, Kenya, Wageningen University & Research, Laboratory of Geo-Information Science and Remote Sensing, Droevendaalsesteg 3, PB Wageningen, 6708, Netherlands; Shirima D., Sokoine University of Agriculture, Department of Ecosystems and Conservation, Tanzania; Do H.T.T., Center for International Forestry Research (CIFOR), P.O. Box 30677, Nairobi, 00100, Kenya, Forest Research Centre, Southern Cross University, Lismore, 2480, NSW, Australia; Herold M., Wageningen University & Research, Laboratory of Geo-Information Science and Remote Sensing, Droevendaalsesteg 3, PB Wageningen, 6708, Netherlands; Roman-Cuesta R.M., Center for International Forestry Research (CIFOR), P.O. Box 30677, Nairobi, 00100, Kenya, Wageningen University & Research, Laboratory of Geo-Information Science and Remote Sensing, Droevendaalsesteg 3, PB Wageningen, 6708, Netherlands","IITA; International Funds for Agricultural Development; International Institute of Tropical Agriculture; Sokoine University of Agriculture in Morogoro; International Fund for Agricultural Development, IFAD"
Peponi A.; Morgado P.,"Peponi, Angeliki (57206205769); Morgado, Paulo (36741880600)",57206205769; 36741880600,Smart and regenerative urban growth: A literature network analysis,2020,International Journal of Environmental Research and Public Health,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083023144&doi=10.3390%2fijerph17072463&partnerID=40&md5=d61b222c6fc47cbc81e3ba7ea4601aca,"Faculty of Environmental Sciences, Czech University of Life Sciences Prague, Kamýcká 129, Suchdol, Praha, 16500, Czech Republic; Institute of Geography and Spatial Planning, Centre of Geographical Studies, Universidade de Lisboa, Rua Branca Edmée Marques, Lisboa, 1600-276, Portugal","CEG; Fundação para a Ciência e a Tecnologia, FCT, (UIDB/00295/2020 e UIDP/00295/2020)"
Temesgen F.; Warkineh B.,"Temesgen, Fitsum (57219314686); Warkineh, Bikila (56072761300)",57219314686; 56072761300,"Woody Species Structure and Regeneration Status in Kafta Sheraro National Park Dry Forest, Tigray Region, Ethiopia",2020,International Journal of Forestry Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092177998&doi=10.1155%2f2020%2f4597456&partnerID=40&md5=c283f07f505e65b0d33c8ac62ddfce9f,"Addis Ababa University, Center of Environmental Sciences, Addis Ababa, Ethiopia; Department of Plant Biology and Biodiversity Management, Addis Ababa, Ethiopia","Temesgen F., Addis Ababa University, Center of Environmental Sciences, Addis Ababa, Ethiopia; Warkineh B., Department of Plant Biology and Biodiversity Management, Addis Ababa, Ethiopia",
Wincott A.; Ravenscroft N.; Gilchrist P.,"Wincott, Abigail (57194601890); Ravenscroft, Neil (7003951294); Gilchrist, Paul (16031094500)",57194601890; 7003951294; 16031094500,Roses and castles: competing visions of canal heritage and the making of place,2020,International Journal of Heritage Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075926916&doi=10.1080%2f13527258.2019.1693412&partnerID=40&md5=e3fd73dd2302ce98afff335c3ff3f32a,"Falmouth University, Brighton, United Kingdom","Wincott A., Falmouth University, Brighton, United Kingdom; Ravenscroft N., Falmouth University, Brighton, United Kingdom; Gilchrist P., Falmouth University, Brighton, United Kingdom","Arts and Humanities Research Council, AHRC, (AH/N504397/1); National Health Insurance Service, NHIC"
Sepe M.,"Sepe, Marichela (16022832400)",16022832400,Regenerating places sustainably: The healthy urban design,2020,International Journal of Sustainable Development and Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078463837&doi=10.2495%2fSDP-V15-N1-14-27&partnerID=40&md5=740c9852b17571dbe2a0efa477cae225,"IRISS National Research Council, DIARC, University of Naples Federico II, Italy","Sepe M., IRISS National Research Council, DIARC, University of Naples Federico II, Italy",
Stepanova E.M.; Lugovaya E.A.,"Stepanova, Evgeniya M. (56727790700); Lugovaya, Elena A. (56728609500)",56727790700; 56728609500,The contents of chemical elements in the body of northerner athletes of conscript age,2020,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099777740&doi=10.5593%2fsgem2020%2f5.1%2fs20.100&partnerID=40&md5=117efb76b800a1794d4e9f0c50f3c914,"Scientific Research Center Â«ArktikaÂ» Far Eastern Branch RAS, Magadan, Russian Federation","Stepanova E.M., Scientific Research Center Â«ArktikaÂ» Far Eastern Branch RAS, Magadan, Russian Federation; Lugovaya E.A., Scientific Research Center Â«ArktikaÂ» Far Eastern Branch RAS, Magadan, Russian Federation","Magadan; Far East Branch, Russian Academy of Sciences, FEB RAS"
RÃ¶stlund I.; BjÃ¶rling N.,"RÃ¶stlund, I. (57220177743); BjÃ¶rling, N. (56257707700)",57220177743; 56257707700,Holistic sustainable material process - Potential in local resources,2020,IOP Conference Series: Earth and Environmental Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097165163&doi=10.1088%2f1755-1315%2f588%2f4%2f042069&partnerID=40&md5=428a7750b1ff3a066d23abda6065ae31,"Urban Planning and design division, Chalmers Architecture and Civil Engineering, Gothenburg, 412 58, Sweden; Urban Planning and design division, Chalmers Architecture and Civil Engineering, Gothenburg, 412 58, Sweden","RÃ¶stlund I., Urban Planning and design division, Chalmers Architecture and Civil Engineering, Gothenburg, 412 58, Sweden; BjÃ¶rling N., Urban Planning and design division, Chalmers Architecture and Civil Engineering, Gothenburg, 412 58, Sweden",
Iqbal T.; Rani W.N.M.W.M.; Wahab M.H.,"Iqbal, T. (57214728836); Rani, W.N.M.W.M. (57192198399); Wahab, M.H. (57196040472)",57214728836; 57192198399; 57196040472,"Regenerating the Identity in Historic Waterfront: A Case Study of Central Market Waterfront, Kuala Lumpur",2020,IOP Conference Series: Earth and Environmental Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078982386&doi=10.1088%2f1755-1315%2f409%2f1%2f012001&partnerID=40&md5=903b009202af2bf4ada50743b08879fc,"Razak Faculty of Technology and Informatics, Universiti Teknologi Malaysia, Jalan Sultan Yahya Petra, Kuala Lumpur, 50410, Malaysia","Iqbal T., Razak Faculty of Technology and Informatics, Universiti Teknologi Malaysia, Jalan Sultan Yahya Petra, Kuala Lumpur, 50410, Malaysia; Rani W.N.M.W.M., Razak Faculty of Technology and Informatics, Universiti Teknologi Malaysia, Jalan Sultan Yahya Petra, Kuala Lumpur, 50410, Malaysia; Wahab M.H., Razak Faculty of Technology and Informatics, Universiti Teknologi Malaysia, Jalan Sultan Yahya Petra, Kuala Lumpur, 50410, Malaysia","Universiti Teknologi Malaysia, UTM, (R.K130000.7740.4J296)"
Chanto K.; Mahasuwanchai P.; Eakintumas W.; Lairat C.; Thavornsettawat N.; Tanthanawiwat K.; Wongthavornman K.; Pulngern T.; Chayavanich N.; Wiputthanupong W.; Pansuwan W.,"Chanto, Kasan (57216418823); Mahasuwanchai, Peerasit (57216409244); Eakintumas, Warawit (57195379188); Lairat, Choophong (57215928367); Thavornsettawat, Nutkitti (57215929795); Tanthanawiwat, Kittipat (57216415255); Wongthavornman, Kunnapat (57216414979); Pulngern, Tawich (8283017700); Chayavanich, Nattavut (55781872700); Wiputthanupong, Wilaiwan (57216410099); Pansuwan, Waraluk (57216414800)",57216418823; 57216409244; 57195379188; 57215928367; 57215929795; 57216415255; 57216414979; 8283017700; 55781872700; 57216410099; 57216414800,Solar decathlon Europe 2019: The resilient nest as a solar powered and energy efficiency rooftop house for urban density,2020,IOP Conference Series: Earth and Environmental Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083430905&doi=10.1088%2f1755-1315%2f463%2f1%2f012033&partnerID=40&md5=481b58f21b3bbb018abeec16a317e6a4,"Department of Civil Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Department of Electrical Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Department of Chemical Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Department of Environmental Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; School of Architecture and Design, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand","Chanto K., Department of Civil Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Mahasuwanchai P., Department of Civil Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Eakintumas W., Department of Civil Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Lairat C., Department of Electrical Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Thavornsettawat N., Department of Chemical Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Tanthanawiwat K., Department of Environmental Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Wongthavornman K., School of Architecture and Design, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Pulngern T., Department of Civil Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Chayavanich N., Department of Electrical Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Wiputthanupong W., Department of Electrical Engineering, Faculty of Engineering, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand; Pansuwan W., School of Architecture and Design, King Mongkutâ€™s University of Technology Thonburi, Bangkok, 10140, Thailand",
Aksenov V.; Tsarev N.; Maksimova E.,"Aksenov, V. (10039590400); Tsarev, N. (57194621322); Maksimova, E. (57219990232)",10039590400; 57194621322; 57219990232,Implementation of Zero Liquid Discharge Systems in Russian Industry,2020,IOP Conference Series: Materials Science and Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097102743&doi=10.1088%2f1757-899X%2f972%2f1%2f012033&partnerID=40&md5=93771c194c59e45711d844407487da79,"Ural Federal University, 19 Mira Street, Yekaterinburg, 620002, Russian Federation","Aksenov V., Ural Federal University, 19 Mira Street, Yekaterinburg, 620002, Russian Federation; Tsarev N., Ural Federal University, 19 Mira Street, Yekaterinburg, 620002, Russian Federation; Maksimova E., Ural Federal University, 19 Mira Street, Yekaterinburg, 620002, Russian Federation",
Mano Y.,"Mano, Yosuke (56577624300)",56577624300,"Regenerating the urban structure in historic districts: An approach through projects representing traditional culture and crafts, created by entrepreneurs and craftsmen in Takaoka city",2020,"Japanese Machizukuri and Community Engagement: History, Method and Practice",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106121862&partnerID=40&md5=91bc4226ec419e415c4facf5f2c32085,"Tokyo Institute of Technology, Japan","Mano Y., Tokyo Institute of Technology, Japan",
Ji Q.; Zhang H.; Zhang X.; Ma Q.; Teng L.; Qiu L.,"Ji, Qian (57218226624); Zhang, Hao (57865072300); Zhang, Xihe (57214328289); Ma, Qiaoqiao (57206479213); Teng, Liping (8233990600); Qiu, Lipeng (36667470100)",57218226624; 57865072300; 57214328289; 57206479213; 8233990600; 36667470100,Hydrosoluble collagen based biodegradable hybrid hydrogel for biomedical scaffold,2020,"Journal of Biomaterials Science, Polymer Edition",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088382542&doi=10.1080%2f09205063.2020.1796229&partnerID=40&md5=ae4bcc258097614a66b2acb805fe27ae,"School of Pharmaceutical Sciences, Jiangnan University, Wuxi, China; Wuxi School of Medicine, Jiangnan University, Wuxi, China","Ji Q., School of Pharmaceutical Sciences, Jiangnan University, Wuxi, China; Zhang H., School of Pharmaceutical Sciences, Jiangnan University, Wuxi, China; Zhang X., School of Pharmaceutical Sciences, Jiangnan University, Wuxi, China; Ma Q., School of Pharmaceutical Sciences, Jiangnan University, Wuxi, China; Teng L., Wuxi School of Medicine, Jiangnan University, Wuxi, China; Qiu L., School of Pharmaceutical Sciences, Jiangnan University, Wuxi, China","National Natural Science Foundation of China, NSFC, (31700708, 81503007); Natural Science Foundation of Jiangsu Province, (BK20170181)"
Wu X.; Li C.; Zhang J.; Wang T.; Wu L.; Jia M.,"Wu, Xia (57205539826); Li, Chu (57198450407); Zhang, Jianjun (55912076600); Wang, Tong (57216616964); Wu, Liu (57213677985); Jia, Mei (57213679400)",57205539826; 57198450407; 55912076600; 57216616964; 57213677985; 57213679400,â€œOccupation-competition-regenerationâ€ nexus among land uses in a Chinese city: Interactions and transformations,2020,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084087072&doi=10.1016%2fj.jclepro.2020.121778&partnerID=40&md5=210af4122ef65a602cf5333d38e499d8,"School of Land Science and Technology, China University of Geosciences, Beijing, 100083, China; School of Public Administration and Policy, Renmin University of China, Beijing, 100872, China; Key Laboratory of Land Consolidation and Rehabilitation, Ministry of Natural Resources, Beijing, 100083, China; Tangshan Real Estate Appraisal and Consultation Center, Beixinxi St, Lubei District, Tangshan, 063000, Hebei, China; Jilin Institute of Land Resources Surveying and Planning Research, Changchun, 130061, Jilin, China","Wu X., School of Land Science and Technology, China University of Geosciences, Beijing, 100083, China; Li C., School of Land Science and Technology, China University of Geosciences, Beijing, 100083, China, School of Public Administration and Policy, Renmin University of China, Beijing, 100872, China; Zhang J., School of Land Science and Technology, China University of Geosciences, Beijing, 100083, China, Key Laboratory of Land Consolidation and Rehabilitation, Ministry of Natural Resources, Beijing, 100083, China; Wang T., School of Land Science and Technology, China University of Geosciences, Beijing, 100083, China; Wu L., Tangshan Real Estate Appraisal and Consultation Center, Beixinxi St, Lubei District, Tangshan, 063000, Hebei, China; Jia M., Jilin Institute of Land Resources Surveying and Planning Research, Changchun, 130061, Jilin, China","Program for Evaluation of Land Use Intensity of Tangshan; Fundamental Research Funds for the Central Universities, (2652018033)"
Tian M.-W.; Yan S.-R.; Han S.-Z.; Nojavan S.; Jermsittiparsert K.; Razmjooy N.,"Tian, Man-Wen (55858113300); Yan, Shu-Rong (55858499000); Han, Shi-Zhuan (57200920201); Nojavan, Sayyad (55508631000); Jermsittiparsert, Kittisak (57214268798); Razmjooy, Navid (54411121300)",55858113300; 55858499000; 57200920201; 55508631000; 57214268798; 54411121300,"New optimal design for a hybrid solar chimney, solid oxide electrolysis and fuel cell based on improved deer hunting optimization algorithm",2020,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075900140&doi=10.1016%2fj.jclepro.2019.119414&partnerID=40&md5=35c3cf70228355f280c5de29d2db3407,"School of Economics and Management, East China Jiao Tong University, Nanchang, 330013, China; Department of Electrical Engineering, University of Bonab, Bonab, Iran; Department for Management of Science and Technology Development, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; Department of Electrical Engineering, Tafresh University, Tafresh, Iran; Faculty of Social Sciences and Humanities, Ton Duc Thang University, Ho Chi Minh City, Viet Nam","Tian M.-W., School of Economics and Management, East China Jiao Tong University, Nanchang, 330013, China; Yan S.-R., School of Economics and Management, East China Jiao Tong University, Nanchang, 330013, China; Han S.-Z., School of Economics and Management, East China Jiao Tong University, Nanchang, 330013, China; Nojavan S., Department of Electrical Engineering, University of Bonab, Bonab, Iran; Jermsittiparsert K., Department for Management of Science and Technology Development, Ton Duc Thang University, Ho Chi Minh City, Viet Nam, Faculty of Social Sciences and Humanities, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; Razmjooy N., Department of Electrical Engineering, Tafresh University, Tafresh, Iran","National Social Science Fund of China, NSSFC"
Shah I.H.; Dong L.; Park H.-S.,"Shah, Izhar Hussain (57021053700); Dong, Liang (55752935000); Park, Hung-Suck (7601570293)",57021053700; 55752935000; 7601570293,"Tracking urban sustainability transition: An eco-efficiency analysis on eco-industrial development in Ulsan, Korea",2020,Journal of Cleaner Production,61,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082762123&doi=10.1016%2fj.jclepro.2020.121286&partnerID=40&md5=17a23fe51b73697bdc9255784c01dfe5,"Department of Civil and Environmental Engineering, University of Ulsan, Daehak-ro 93, Nam-gu, Ulsan, 680-749, South Korea; Institute of Environmental Sciences and Engineering, School of Civil and Environmental Engineering, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan; Department of Public Policy, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong; School of Energy and Environment, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong","University of Ulsan, UOU, (2017-0141)"
Velegrinis S.,"Velegrinis, Steven (8417617500)",8417617500,Plus urbanism: Using digital tools to realise urban landscapes that create more than they consume,2020,Journal of Digital Landscape Architecture,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087551834&doi=10.14627%2f537690021&partnerID=40&md5=67c5b3de6f2449c53e36009585c24922,"Aecom Middle East, Dubai, United Arab Emirates","Velegrinis S., Aecom Middle East, Dubai, United Arab Emirates",
Pokhrel P.; Lin S.-L.; Tsai C.-T.,"Pokhrel, Prakash (57218877085); Lin, Sheng-Lung (56170019000); Tsai, Chi-Ting (57218875143)",57218877085; 56170019000; 57218875143,Environmental and economic performance analysis of recycling waste printed circuit boards using life cycle assessment,2020,Journal of Environmental Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090556812&doi=10.1016%2fj.jenvman.2020.111276&partnerID=40&md5=129292999b2f0b70eb595366855f55a9,"Department of Environmental Engineering and Management, Chaoyang University of Technology, Taichung, Taiwan; Department of Applied Chemistry, Chaoyang University of Technology, Taichung, Taiwan","Pokhrel P., Department of Environmental Engineering and Management, Chaoyang University of Technology, Taichung, Taiwan, Department of Applied Chemistry, Chaoyang University of Technology, Taichung, Taiwan; Lin S.-L., Department of Environmental Engineering and Management, Chaoyang University of Technology, Taichung, Taiwan; Tsai C.-T., Department of Environmental Engineering and Management, Chaoyang University of Technology, Taichung, Taiwan",
Pezzullo P.C.,"Pezzullo, Phaedra C. (6507166820)",6507166820,Between crisis and care: Projection mapping as creative climate advocacy,2020,Journal of Environmental Media,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168841514&doi=10.1386%2fjem_00006_1&partnerID=40&md5=054ad71a83996aba94430604a6e9db2f,"Department of Communication, University of Colorado Boulder, 96A Hellems, 270 UCB, Boulder, 80309-0270, CO, United States","Pezzullo P.C., Department of Communication, University of Colorado Boulder, 96A Hellems, 270 UCB, Boulder, 80309-0270, CO, United States",
Oppong F.,"Oppong, Felix (58829958600)",58829958600,An analysis of the impact of jurisdictional fragmentation on property taxes in Ghana,2020,Journal of Financial Management of Property and Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099984015&doi=10.1108%2fJFMPC-07-2020-0048&partnerID=40&md5=d42e4572ca95456471f85f81c9f8d116,"IEG, World Bank, Washington, DC, United States; African Tax Institute, University of Pretoria, South Africa","Oppong F., IEG, World Bank, Washington, DC, United States, African Tax Institute, University of Pretoria, South Africa","University of Pretoria, UP"
